Fund House,Funds,Category,Rating,AUM(in Rs. cr),ExpenseRatio (%),inception_date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. of Stocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,category_average_return_1year,category_average_return_3years,Exit_load_Remarks
Indiabulls Mutual Fund,Indiabulls Arbitrage Fund-Reg(G),HY-ARB,Unrated,13.2,1.12,19-Dec-14,Nifty 50 Arbitrage,14.77,14.77,14.41,0.37,0.82,1.24,2.42,2.29,2.67,4.01,-,914,19,155829,54.84,7.51,3.89,Financials,-,-,-,-0.38,-0.4,-0.78,0.01,0.94,Hybrid : Arbitrage,3.56,3.65,0.25% on or before 1M Nil after 1M
Indiabulls Mutual Fund,Indiabulls Blue Chip Fund-Reg(G),EQ-LC,Unrated,94.9,2.43,10-Feb-12,NIFTY 100 - TRI,29.06,30.56,25.18,-0.72,7.13,3.31,-5.87,17.64,10.53,8.37,10.88,30,39,315108,86.29,9.7,0.94,Financials,-,-,-,-1.16,-0.36,-0.57,0.98,18.26,Equity : Large Cap,-3.51,14.3,1% on or before 7D Nil after 7D
Indiabulls Mutual Fund,Indiabulls Dynamic Bond Fund-Reg(G),DT-DYN,Unrated,25.3,0.74,4-Dec-18,CRISIL Dynamic Debt Index,1238.87,1238.97,1214.67,0.26,1.07,1.16,1.84,3.46,4.32,-,-,0,-,-,-,-,-,-,1.3,1.08,6.67,-0.81,-0.83,-1.14,0.23,1.09,Debt : Dynamic Bond,2.02,5.08,Nil
Indiabulls Mutual Fund,Indiabulls Equity Hybrid Fund-Reg(G),HY-EQ,Unrated,32.5,2.36,13-Dec-18,CRISIL Hybrid 35+65 - Aggressive Index,14.8,15.36,13.17,-0.18,5.91,2.06,-4.93,16.38,11.02,-,-,31,32,275943,62.28,12.49,0.19,Financials,-,-,-,-6.38,-0.48,-0.75,0.81,14.16,Hybrid : Equity Oriented,1.35,8.53,1% on or before 7D Nil after 7D
Indiabulls Mutual Fund,Indiabulls Liquid Fund-Reg(G),DT-LIQ,4,237.5,0.22,25-Oct-11,Crisil Liquid Fund Index,2101.9,2101.9,2022.27,0.46,1.3,2.3,3.94,3.51,3.79,5.08,6.7,0,4,-,-,-,-,-,0.13,0.12,5.8,-0.1,-1.77,-1.48,-,0.06,Debt : Liquid,4.1,3.86,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
Indiabulls Mutual Fund,Indiabulls Nifty 50 ETF,EQ-ETF,Unrated,16.5,0.11,30-Apr-19,NIFTY 50 - TRI,183.42,189.72,159.74,-0.27,7.65,2.68,-4.17,22.49,15.89,-,-,2,51,397561,100.03,-,-,Financials,-,-,-,0.78,-0.26,-0.42,0.99,18.09,Equity : ETFs,-3.32,12.35,null
Indiabulls Mutual Fund,Indiabulls Overnight Fund-Reg(G),DT-ON,Unrated,25.3,0.2,8-Jul-19,CRISIL Overnight Index,1125.8,1125.8,1083,0.47,1.3,2.32,3.95,3.45,3.5,-,-,0,-,-,-,-,-,-,-,-,5.38,-0.08,-1.95,-1.24,-,0.04,Debt : Overnight,4.1,3.6,Nil
Indiabulls Mutual Fund,Indiabulls Short Term Fund-Reg(G),DT-SD,Unrated,24,1.43,13-Sep-13,Crisil Short Term Bond Fund Index,1745.91,1748.81,1717.08,0.15,0.87,0.67,1.05,2.1,3.29,4.42,-,0,-,-,-,-,-,-,1.85,-,6.89,-1.56,-1.42,-1.89,0.26,1.19,Debt : Short Duration,2.89,5.39,Nil
Indiabulls Mutual Fund,Indiabulls Tax Savings Fund-Reg(G),EQ-ELSS,Unrated,39.7,2.25,28-Dec-17,S&P BSE 500 - TRI,13.41,14.07,11.72,-0.82,6.29,2.69,-5.25,18.31,11,-,-,25,33,313381,75.41,5.92,2.05,Financials,-,-,-,-1.18,-0.36,-0.57,0.88,16.83,Equity : Tax Saving (ELSS),-1.86,16.69,Nil
Indiabulls Mutual Fund,Indiabulls Value Fund-Reg(G),EQ-VAL,Unrated,10.2,2.3,7-Sep-15,NIFTY500 Value 50 - TRI,17.1,18.11,15.06,-1.02,6.27,0.94,-5.59,22.5,14.59,5.07,-,21,28,331789,65.8,5.14,0.05,Financials,-,-,-,-1.49,-0.37,-0.57,0.85,16.81,Equity : Value / Contra,3.04,21.88,1% on or before 1Y Nil after 1Y
